StudentID,Age,Gender,Department,StudyHours,SleepHours,Attendance,InternetAccess,FamilyIncome,Marks
48,21,Male,ME,3.0,8.0,75.0,No,150000,35.56149220032008
49,18,Female,EE,1.0,5.0,53.0,Yes,47856,22.329326953624523
50,20,Male,CSE,1.0,5.0,68.0,Yes,22573,27.072283949935123
51,22,Female,EE,3.0,6.0,69.0,No,98344,38.992721363364154
52,20,Male,CSE,5.0,4.0,82.0,No,55367,59.65102269383174
53,24,Female,EE,3.0,8.0,69.0,No,80774,34.815263862529754
54,22,Female,EE,1.0,4.0,98.0,No,43752,30.40851377730773
55,18,Female,ECE,1.0,4.0,61.0,Yes,75029,16.403403859927366
56,24,Female,CSE,8.0,6.0,96.0,Yes,37685,65.1453498002904
57,19,Male,ECE,2.0,8.0,,Yes,71693,24.834365135631014
58,21,Female,CSE,,,75.0,Yes,75961,46.47278931758894
59,18,Male,ECE,2.0,,63.0,No,96908,26.31194350481914
60,21,Male,ME,3.0,4.0,87.0,Yes,94532,42.21893975819449
61,23,Male,EE,7.0,4.0,86.0,Yes,76133,60.71788551963623
62,19,Male,CSE,1.0,,60.0,No,81268,28.94196636724042
63,19,Female,CSE,8.0,7.0,85.0,Yes,58243,78.13466212936811
64,18,Male,EE,2.0,,,Yes,77384,25.945656135398394
65,19,Male,CSE,3.0,5.0,92.0,Yes,51653,40.15280278740888
66,22,Male,CSE,9.0,5.0,52.0,Yes,46657,65.82080438534535
67,19,Female,ECE,7.0,6.0,82.0,Yes,59952,63.00945744813155
68,21,Female,CSE,4.0,6.0,55.0,Yes,42180,45.73353662868017
69,21,Female,ME,5.0,5.0,99.0,No,98411,57.61964092662982
70,24,Female,ME,2.0,7.0,59.0,No,21622,25.903539546064703
71,21,Male,EE,8.0,4.0,,Yes,68756,59.15327415346155
72,24,Male,CSE,4.0,7.0,72.0,Yes,60809,47.14351790291453
73,21,Female,EE,,8.0,59.0,No,36725,66.80241090598682
74,22,Male,ME,5.0,6.0,93.0,Yes,81396,55.43637015553649
75,24,Male,CSE,9.0,4.0,51.0,Yes,71226,65.63337344794577
76,20,Male,CSE,4.0,4.0,62.0,Yes,49402,44.446477952228356
77,23,Female,EE,5.0,8.0,89.0,No,24263,58.610794955187636
78,18,Female,ME,9.0,8.0,51.0,Yes,66828,63.54354943794821
79,21,Male,CSE,8.0,5.0,69.0,No,67924,59.86440959841573
80,19,Female,EE,3.0,6.0,50.0,Yes,94182,30.733568432166614
81,21,Female,ME,1.0,6.0,86.0,No,79052,36.832544832541785
82,19,Female,EE,3.0,7.0,58.0,No,31664,28.31532164506382
83,23,Female,ECE,4.0,5.0,66.0,Yes,55737,100.0
84,23,Female,CSE,2.0,5.0,58.0,No,49373,25.433305938363194
85,23,Male,ECE,1.0,5.0,60.0,Yes,56397,23.143724114674086
86,19,Female,ME,7.0,5.0,64.0,No,58709,60.59225931303649
87,21,Male,ECE,8.0,6.0,73.0,Yes,81120,62.855495340099516
88,23,Male,ECE,7.0,6.0,87.0,Yes,39250,61.33218274078074
89,22,Female,ME,5.0,5.0,84.0,No,41172,43.40071929510041
90,24,Male,EE,1.0,7.0,79.0,Yes,31555,32.4312678301361
91,19,Male,ECE,7.0,4.0,80.0,Yes,98617,62.22742090570538
92,19,Male,EE,7.0,4.0,98.0,No,73276,75.2162736165273
93,21,Female,ECE,9.0,7.0,54.0,Yes,77492,100.0
94,19,Female,EE,3.0,5.0,93.0,Yes,73002,43.995751638319696
95,19,Male,ME,9.0,6.0,99.0,No,92355,75.94691841855378
96,23,Female,ECE,1.0,4.0,63.0,No,44762,31.787266398817373
97,21,Female,ME,1.0,8.0,60.0,Yes,31046,22.523522338065238
98,23,Female,ECE,4.0,8.0,58.0,Yes,48769,38.795107628851696
99,24,Female,ME,9.0,7.0,83.0,No,73302,72.9394825485827
100,24,Male,ME,6.0,5.0,61.0,No,43150,49.23304561578179
101,23,Male,ECE,3.0,4.0,84.0,Yes,88247,37.96783192724736
102,24,Female,ECE,15.0,5.0,84.0,No,24853,31.17044996449154
103,21,Female,ECE,4.0,4.0,50.0,Yes,41792,40.36815874929886
104,18,Male,CSE,9.0,7.0,89.0,Yes,79129,66.5674235029447
105,23,Male,EE,3.0,7.0,71.0,Yes,94478,36.96484837073438
106,22,Female,CSE,9.0,8.0,78.0,Yes,87298,64.89939592530413
107,22,Male,CSE,,5.0,57.0,Yes,51987,100.0
108,19,Female,ME,4.0,8.0,60.0,No,35850,30.384065476081126
109,24,Female,ECE,3.0,5.0,90.0,No,32112,39.20539076364206
110,22,Male,EE,5.0,8.0,86.0,No,44058,52.6860593753226
111,19,Male,ME,5.0,6.0,63.0,No,65420,51.7276201461717
112,18,Female,CSE,3.0,6.0,79.0,Yes,58890,38.371248694635064
113,21,Female,ECE,9.0,6.0,84.0,Yes,86017,67.42400236653401
114,21,Male,ME,4.0,,70.0,Yes,67304,50.40578534720295
115,21,Female,ECE,5.0,4.0,86.0,Yes,150000,43.55993049791878
116,22,Male,ME,4.0,6.0,54.0,No,21524,25.205970216899594
117,18,Female,ECE,5.0,7.0,68.0,Yes,35048,47.60007225026666
118,22,Male,CSE,7.0,7.0,63.0,Yes,55111,51.389728878236944
119,24,Male,EE,9.0,4.0,75.0,No,57904,62.39383591434643
120,22,Male,CSE,7.0,6.0,53.0,No,74912,54.44178223649676
121,18,Female,EE,5.0,6.0,74.0,No,54008,48.419003568856
122,18,Female,ECE,7.0,6.0,94.0,No,20060,60.37960684631636
123,24,Male,ME,5.0,8.0,91.0,Yes,94666,45.898478006645526
124,18,Female,CSE,3.0,5.0,74.0,Yes,75337,41.562286641400725
125,18,Male,EE,7.0,8.0,67.0,No,33350,58.3510058897933
126,21,Male,CSE,2.0,5.0,89.0,Yes,44354,36.20412068110309
127,24,Female,EE,9.0,6.0,57.0,Yes,65186,71.33318498023833
128,20,Female,CSE,1.0,6.0,88.0,Yes,48145,26.049576168369235
129,20,Male,EE,6.0,8.0,,No,54020,49.07237414537631
130,18,Female,EE,7.0,8.0,63.0,Yes,95186,50.44045965059377
131,20,Female,ECE,8.0,5.0,81.0,No,40581,64.07206991822251
132,20,Male,EE,9.0,7.0,,Yes,43051,72.31669724661346
133,18,Male,ECE,2.0,5.0,82.0,Yes,71474,33.39381971071835
134,20,Female,EE,2.0,8.0,72.0,Yes,89626,33.360276982571484
135,22,Male,ME,5.0,8.0,64.0,No,26960,37.94230287904778
136,19,Male,ME,5.0,4.0,82.0,Yes,55772,56.818823020366295
137,24,Female,ME,6.0,,74.0,No,41520,51.78924410803716
138,19,Male,EE,3.0,4.0,66.0,No,69481,40.386479157940634
139,18,Male,ECE,8.0,7.0,82.0,No,56408,66.31362673188852
140,21,Female,ECE,1.0,5.0,96.0,Yes,77134,36.083766095768915
141,24,Female,EE,6.0,5.0,51.0,Yes,40491,48.14883640116102
142,18,Male,ME,4.0,4.0,63.0,Yes,21341,41.138542800086576
143,21,Male,ME,15.0,5.0,89.0,Yes,64623,34.91361379933772
144,19,Female,ECE,,8.0,89.0,No,20338,68.34576265066215
145,18,Female,ME,9.0,6.0,88.0,No,91431,72.38260584850735
146,24,Female,CSE,4.0,4.0,55.0,No,32254,40.04501878794256
147,24,Female,ECE,4.0,5.0,55.0,Yes,71860,36.05132152856387
148,23,Male,ME,6.0,4.0,52.0,No,31344,52.80058607724737
149,22,Female,ECE,3.0,4.0,56.0,Yes,21750,28.41803848970365
150,20,Female,CSE,6.0,6.0,57.0,No,74756,56.10470216455407
151,21,Male,ECE,7.0,8.0,91.0,Yes,87957,62.09921024677828
152,23,Female,ECE,3.0,4.0,64.0,Yes,78053,27.046124489409763
153,20,Male,ECE,7.0,5.0,96.0,No,90855,64.44052207455394
154,20,Female,ECE,3.0,7.0,78.0,No,35896,34.9947417126256
155,18,Female,CSE,2.0,4.0,82.0,No,75761,38.803217744943616
156,20,Female,EE,4.0,4.0,79.0,No,82552,40.43688010348805
157,22,Male,ECE,8.0,6.0,88.0,Yes,97454,64.16908283392611
158,24,Male,ECE,9.0,8.0,76.0,No,47935,58.35229634527234
159,23,Female,ME,7.0,7.0,85.0,No,57641,58.23846840375462
160,20,Male,ECE,1.0,5.0,78.0,No,49711,16.280603366855217
161,18,Male,ME,3.0,7.0,87.0,Yes,90342,33.180485882571375
162,22,Male,EE,9.0,5.0,82.0,Yes,32182,73.40207328072148
163,19,Male,CSE,1.0,8.0,86.0,No,76276,34.72900079325416
164,24,Male,CSE,9.0,5.0,76.0,Yes,39541,69.92728780892482
165,24,Male,EE,8.0,6.0,82.0,No,64813,59.76511928435393
166,23,Female,CSE,,6.0,53.0,Yes,57198,20.6614432192901
167,24,Female,EE,6.0,6.0,71.0,Yes,28820,51.28198730454716
168,20,Male,EE,5.0,6.0,51.0,Yes,44070,34.508176554037284
169,18,Female,EE,6.0,7.0,59.0,Yes,89768,55.216991508835754
170,24,Female,CSE,5.0,8.0,54.0,No,31122,45.58681145287836
171,24,Female,ME,6.0,5.0,59.0,No,93543,46.59517913085168
172,19,Female,EE,5.0,,82.0,No,61786,49.73442919497265
173,19,Male,ECE,5.0,6.0,87.0,Yes,26737,52.141914039737756
174,21,Female,CSE,4.0,6.0,62.0,No,56062,28.39132565787854
175,22,Female,EE,3.0,4.0,80.0,No,74237,37.764113087397014
176,20,Male,EE,3.0,8.0,96.0,No,71571,40.39007876001101
177,24,Male,ECE,4.0,7.0,85.0,Yes,45510,40.49189995052542
178,24,Female,ME,9.0,5.0,94.0,Yes,39426,71.79449853557023
179,18,Female,ME,2.0,4.0,73.0,Yes,57265,40.88843263424761
180,21,Female,ME,9.0,4.0,64.0,No,37850,67.40421430633505
181,22,Female,EE,1.0,5.0,,No,86150,25.544105051086014
182,21,Female,EE,1.0,7.0,57.0,No,94910,24.96291390678079
183,23,Female,EE,5.0,4.0,54.0,Yes,72375,48.19677718293001
184,22,Male,CSE,6.0,4.0,78.0,Yes,55435,58.02316841456384
185,24,Female,ECE,6.0,8.0,,No,77132,59.09815184960087
186,24,Female,EE,3.0,7.0,53.0,Yes,98945,27.66531611147213
187,22,Male,ECE,7.0,4.0,61.0,Yes,22983,56.79111656806795
188,24,Male,ECE,9.0,7.0,94.0,Yes,40662,75.16742692710875
189,20,Male,ME,8.0,5.0,51.0,Yes,43510,59.77596610013866
190,22,Male,CSE,6.0,6.0,76.0,No,98187,55.97585900840984
191,21,Female,EE,8.0,4.0,80.0,Yes,60998,69.24776357659667
192,22,Female,ME,15.0,8.0,85.0,Yes,76846,47.82382394219716
193,24,Female,ME,8.0,5.0,85.0,Yes,26640,72.08697032817163
194,20,Female,EE,4.0,7.0,75.0,Yes,64547,43.487998023462
195,20,Female,ECE,8.0,5.0,92.0,No,74620,77.97630436312632
196,23,Female,ME,2.0,4.0,76.0,No,35317,29.354060909552157
197,21,Male,ECE,5.0,7.0,54.0,Yes,27564,49.87981901582625
198,19,Female,CSE,9.0,6.0,69.0,Yes,47345,66.68955391731325
199,19,Male,ECE,4.0,5.0,60.0,Yes,99273,34.74290998192776
200,22,Male,CSE,6.0,4.0,59.0,Yes,94859,45.2805708297284
